CDU_FIELD_NAME,CENSUS_CELLNAME,TOPIC,CATEGORY,TOPIC_DESCRIPTION,
F77,QS103EW0074,Age,Age 72,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F77,QS103EW0074,Unit,Persons,The unit is for a particular count (e.g. people or households),
F78,QS103EW0075,Age,Age 73,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F78,QS103EW0075,Unit,Persons,The unit is for a particular count (e.g. people or households),
F79,QS103EW0076,Age,Age 74,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F79,QS103EW0076,Unit,Persons,The unit is for a particular count (e.g. people or households),
F80,QS103EW0077,Age,Age 75,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F80,QS103EW0077,Unit,Persons,The unit is for a particular count (e.g. people or households),
F81,QS103EW0078,Age,Age 76,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F81,QS103EW0078,Unit,Persons,The unit is for a particular count (e.g. people or households),
F82,QS103EW0079,Age,Age 77,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F82,QS103EW0079,Unit,Persons,The unit is for a particular count (e.g. people or households),
F83,QS103EW0080,Age,Age 78,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F83,QS103EW0080,Unit,Persons,The unit is for a particular count (e.g. people or households),
F84,QS103EW0081,Age,Age 79,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F84,QS103EW0081,Unit,Persons,The unit is for a particular count (e.g. people or households),
F85,QS103EW0082,Age,Age 80,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F85,QS103EW0082,Unit,Persons,The unit is for a particular count (e.g. people or households),
F850,QS103EW0015,Age,Age 13,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F850,QS103EW0015,Unit,Persons,The unit is for a particular count (e.g. people or households),
F851,QS103EW0016,Age,Age 14,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F851,QS103EW0016,Unit,Persons,The unit is for a particular count (e.g. people or households),
F852,QS103EW0018,Age,Age 16,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F852,QS103EW0018,Unit,Persons,The unit is for a particular count (e.g. people or households),
F853,QS103EW0019,Age,Age 17,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F853,QS103EW0019,Unit,Persons,The unit is for a particular count (e.g. people or households),
F854,QS103EW0020,Age,Age 18,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F854,QS103EW0020,Unit,Persons,The unit is for a particular count (e.g. people or households),
F855,QS103EW0021,Age,Age 19,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F855,QS103EW0021,Unit,Persons,The unit is for a particular count (e.g. people or households),
F856,QS103EW0022,Age,Age 20,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F856,QS103EW0022,Unit,Persons,The unit is for a particular count (e.g. people or households),
F857,QS103EW0023,Age,Age 21,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F857,QS103EW0023,Unit,Persons,The unit is for a particular count (e.g. people or households),
F858,QS103EW0024,Age,Age 22,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F858,QS103EW0024,Unit,Persons,The unit is for a particular count (e.g. people or households),
F859,QS103EW0025,Age,Age 23,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F859,QS103EW0025,Unit,Persons,The unit is for a particular count (e.g. people or households),
F86,QS103EW0083,Age,Age 81,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F86,QS103EW0083,Unit,Persons,The unit is for a particular count (e.g. people or households),
F861,QS103EW0027,Age,Age 25,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F861,QS103EW0027,Unit,Persons,The unit is for a particular count (e.g. people or households),
F862,QS103EW0028,Age,Age 26,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F862,QS103EW0028,Unit,Persons,The unit is for a particular count (e.g. people or households),
F863,QS103EW0029,Age,Age 27,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F863,QS103EW0029,Unit,Persons,The unit is for a particular count (e.g. people or households),
F864,QS103EW0030,Age,Age 28,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F864,QS103EW0030,Unit,Persons,The unit is for a particular count (e.g. people or households),
F865,QS103EW0031,Age,Age 29,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F865,QS103EW0031,Unit,Persons,The unit is for a particular count (e.g. people or households),
F866,QS103EW0032,Age,Age 30,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F866,QS103EW0032,Unit,Persons,The unit is for a particular count (e.g. people or households),
F867,QS103EW0033,Age,Age 31,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F867,QS103EW0033,Unit,Persons,The unit is for a particular count (e.g. people or households),
F868,QS103EW0034,Age,Age 32,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F868,QS103EW0034,Unit,Persons,The unit is for a particular count (e.g. people or households),
F869,QS103EW0035,Age,Age 33,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F869,QS103EW0035,Unit,Persons,The unit is for a particular count (e.g. people or households),
F87,QS103EW0084,Age,Age 82,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F87,QS103EW0084,Unit,Persons,The unit is for a particular count (e.g. people or households),
F870,QS103EW0036,Age,Age 34,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F870,QS103EW0036,Unit,Persons,The unit is for a particular count (e.g. people or households),
F871,QS103EW0037,Age,Age 35,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F871,QS103EW0037,Unit,Persons,The unit is for a particular count (e.g. people or households),
F872,QS103EW0038,Age,Age 36,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F872,QS103EW0038,Unit,Persons,The unit is for a particular count (e.g. people or households),
F873,QS103EW0039,Age,Age 37,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F873,QS103EW0039,Unit,Persons,The unit is for a particular count (e.g. people or households),
F874,QS103EW0040,Age,Age 38,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F874,QS103EW0040,Unit,Persons,The unit is for a particular count (e.g. people or households),
F875,QS103EW0041,Age,Age 39,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F875,QS103EW0041,Unit,Persons,The unit is for a particular count (e.g. people or households),
F876,QS103EW0042,Age,Age 40,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F876,QS103EW0042,Unit,Persons,The unit is for a particular count (e.g. people or households),
F877,QS103EW0043,Age,Age 41,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F877,QS103EW0043,Unit,Persons,The unit is for a particular count (e.g. people or households),
F878,QS103EW0044,Age,Age 42,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F878,QS103EW0044,Unit,Persons,The unit is for a particular count (e.g. people or households),
F879,QS103EW0045,Age,Age 43,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F879,QS103EW0045,Unit,Persons,The unit is for a particular count (e.g. people or households),
F88,QS103EW0085,Age,Age 83,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F88,QS103EW0085,Unit,Persons,The unit is for a particular count (e.g. people or households),
F880,QS103EW0046,Age,Age 44,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F880,QS103EW0046,Unit,Persons,The unit is for a particular count (e.g. people or households),
F881,QS103EW0047,Age,Age 45,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F881,QS103EW0047,Unit,Persons,The unit is for a particular count (e.g. people or households),
F882,QS103EW0048,Age,Age 46,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F882,QS103EW0048,Unit,Persons,The unit is for a particular count (e.g. people or households),
F89,QS103EW0086,Age,Age 84,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F89,QS103EW0086,Unit,Persons,The unit is for a particular count (e.g. people or households),
F90,QS103EW0087,Age,Age 85,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F90,QS103EW0087,Unit,Persons,The unit is for a particular count (e.g. people or households),
F91,QS103EW0088,Age,Age 86,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F91,QS103EW0088,Unit,Persons,The unit is for a particular count (e.g. people or households),
F92,QS103EW0089,Age,Age 87,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F92,QS103EW0089,Unit,Persons,The unit is for a particular count (e.g. people or households),
F93,QS103EW0090,Age,Age 88,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F93,QS103EW0090,Unit,Persons,The unit is for a particular count (e.g. people or households),
F94,QS103EW0091,Age,Age 89,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F94,QS103EW0091,Unit,Persons,The unit is for a particular count (e.g. people or households),
F95,QS103EW0092,Age,Age 90,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F95,QS103EW0092,Unit,Persons,The unit is for a particular count (e.g. people or households),
F96,QS103EW0093,Age,Age 91,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F96,QS103EW0093,Unit,Persons,The unit is for a particular count (e.g. people or households),
F97,QS103EW0094,Age,Age 92,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F97,QS103EW0094,Unit,Persons,The unit is for a particular count (e.g. people or households),
F98,QS103EW0095,Age,Age 93,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F98,QS103EW0095,Unit,Persons,The unit is for a particular count (e.g. people or households),
F99,QS103EW0096,Age,Age 94,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F99,QS103EW0096,Unit,Persons,The unit is for a particular count (e.g. people or households),
