File,Start Line,End Line,Operation Type,Message
ext/dcn/test.py,227,227,MODIFY,change function cuda to npu
ext/dcn/test.py,229,229,MODIFY,change function cuda to npu
ext/dcn/test.py,230,230,MODIFY,change function cuda to npu
ext/dcn/test.py,231,231,MODIFY,change function cuda to npu
ext/dcn/test.py,232,232,MODIFY,change function cuda to npu
ext/dcn/test.py,233,233,MODIFY,change function cuda to npu
ext/dcn/test.py,237,243,MODIFY,change function cuda to npu
ext/dcn/dcn_v2.py,16,16,INSERT,['import torch_npu']
ext/kmeans/kmeans.py,6,6,INSERT,['import torch_npu']
ext/kmeans/kmeans.py,14,14,MODIFY,change function cuda to npu
ext/kmeans/pairwise.py,17,17,MODIFY,change function cuda to npu
ext/kmeans/pairwise.py,17,17,MODIFY,change function cuda to npu
ext/kmeans/pairwise.py,37,37,MODIFY,change function cuda to npu
ext/kmeans/pairwise.py,38,38,MODIFY,change function cuda to npu
