CDU_FIELD_NAME,CENSUS_CELLNAME,TOPIC,CATEGORY,TOPIC_DESCRIPTION,
F17589,PP02UK0038,Age,Age 30 to 34,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F17589,PP02UK0038,Sex,Males,The classification of a person as either male or female.,
F17589,PP02UK0038,Unit,Persons,The unit is for a particular count (e.g. people or households),
F17590,PP03UK0038,Age,Age 30 to 34,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F17590,PP03UK0038,Sex,Females,The classification of a person as either male or female.,
F17590,PP03UK0038,Unit,Persons,The unit is for a particular count (e.g. people or households),
F18840,PP02UK0050,Age,Age 40 to 44,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F18840,PP02UK0050,Sex,Males,The classification of a person as either male or female.,
F18840,PP02UK0050,Unit,Persons,The unit is for a particular count (e.g. people or households),
F18841,PP03UK0050,Age,Age 40 to 44,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F18841,PP03UK0050,Sex,Females,The classification of a person as either male or female.,
F18841,PP03UK0050,Unit,Persons,The unit is for a particular count (e.g. people or households),
F20091,PP02UK0044,Age,Age 35 to 39,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F20091,PP02UK0044,Sex,Males,The classification of a person as either male or female.,
F20091,PP02UK0044,Unit,Persons,The unit is for a particular count (e.g. people or households),
F20092,PP03UK0044,Age,Age 35 to 39,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F20092,PP03UK0044,Sex,Females,The classification of a person as either male or female.,
F20092,PP03UK0044,Unit,Persons,The unit is for a particular count (e.g. people or households),
F21342,PP02UK0056,Age,Age 45 to 49,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F21342,PP02UK0056,Sex,Males,The classification of a person as either male or female.,
F21342,PP02UK0056,Unit,Persons,The unit is for a particular count (e.g. people or households),
F21343,PP03UK0056,Age,Age 45 to 49,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F21343,PP03UK0056,Sex,Females,The classification of a person as either male or female.,
F21343,PP03UK0056,Unit,Persons,The unit is for a particular count (e.g. people or households),
F22602,PP02UK0062,Age,Age 50 to 54,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F22602,PP02UK0062,Sex,Males,The classification of a person as either male or female.,
F22602,PP02UK0062,Unit,Persons,The unit is for a particular count (e.g. people or households),
F22603,PP03UK0062,Age,Age 50 to 54,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F22603,PP03UK0062,Sex,Females,The classification of a person as either male or female.,
F22603,PP03UK0062,Unit,Persons,The unit is for a particular count (e.g. people or households),
F23853,PP02UK0068,Age,Age 55 to 59,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F23853,PP02UK0068,Sex,Males,The classification of a person as either male or female.,
F23853,PP02UK0068,Unit,Persons,The unit is for a particular count (e.g. people or households),
F23854,PP03UK0068,Age,Age 55 to 59,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F23854,PP03UK0068,Sex,Females,The classification of a person as either male or female.,
F23854,PP03UK0068,Unit,Persons,The unit is for a particular count (e.g. people or households),
F24633,PP02UK0080,Age,Age 65 to 69,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F24633,PP02UK0080,Sex,Males,The classification of a person as either male or female.,
F24633,PP02UK0080,Unit,Persons,The unit is for a particular count (e.g. people or households),
F24634,PP03UK0080,Age,Age 65 to 69,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F24634,PP03UK0080,Sex,Females,The classification of a person as either male or female.,
F24634,PP03UK0080,Unit,Persons,The unit is for a particular count (e.g. people or households),
F25404,PP02UK0086,Age,Age 70 to 74,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F25404,PP02UK0086,Sex,Males,The classification of a person as either male or female.,
F25404,PP02UK0086,Unit,Persons,The unit is for a particular count (e.g. people or households),
F25405,PP03UK0086,Age,Age 70 to 74,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F25405,PP03UK0086,Sex,Females,The classification of a person as either male or female.,
F25405,PP03UK0086,Unit,Persons,The unit is for a particular count (e.g. people or households),
F26175,PP02UK0092,Age,Age 75 to 79,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F26175,PP02UK0092,Sex,Males,The classification of a person as either male or female.,
F26175,PP02UK0092,Unit,Persons,The unit is for a particular count (e.g. people or households),
F26176,PP03UK0092,Age,Age 75 to 79,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F26176,PP03UK0092,Sex,Females,The classification of a person as either male or female.,
F26176,PP03UK0092,Unit,Persons,The unit is for a particular count (e.g. people or households),
F26946,PP02UK0098,Age,Age 80 to 84,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F26946,PP02UK0098,Sex,Males,The classification of a person as either male or female.,
F26946,PP02UK0098,Unit,Persons,The unit is for a particular count (e.g. people or households),
F26947,PP03UK0098,Age,Age 80 to 84,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F26947,PP03UK0098,Sex,Females,The classification of a person as either male or female.,
F26947,PP03UK0098,Unit,Persons,The unit is for a particular count (e.g. people or households),
F29166,DC1117EW0260,Age,Age 85 and over,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F29166,DC1117EW0260,Sex,Males,The classification of a person as either male or female.,
F29166,DC1117EW0260,Unit,Persons,The unit is for a particular count (e.g. people or households),
F29173,DC1117EW0261,Age,Age 85 and over,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F29173,DC1117EW0261,Sex,Females,The classification of a person as either male or female.,
F29173,DC1117EW0261,Unit,Persons,The unit is for a particular count (e.g. people or households),
F67376,PP02UK0032,Age,Age 25 to 29,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F67376,PP02UK0032,Sex,Males,The classification of a person as either male or female.,
F67376,PP02UK0032,Unit,Persons,The unit is for a particular count (e.g. people or households),
F67377,PP03UK0032,Age,Age 25 to 29,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F67377,PP03UK0032,Sex,Females,The classification of a person as either male or female.,
F67377,PP03UK0032,Unit,Persons,The unit is for a particular count (e.g. people or households),
F68627,PP02UK0074,Age,Age 60 to 64,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F68627,PP02UK0074,Sex,Males,The classification of a person as either male or female.,
F68627,PP02UK0074,Unit,Persons,The unit is for a particular count (e.g. people or households),
F68628,PP03UK0074,Age,Age 60 to 64,"Age is derived from the date of birth question and is a person's age at their last birthday, at 27 March 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's age is imputed. Infants less than one year old are classified as 0 years of age.",
F68628,PP03UK0074,Sex,Females,The classification of a person as either male or female.,
F68628,PP03UK0074,Unit,Persons,The unit is for a particular count (e.g. people or households),
