Borough,Ward,Geog level,Constituency,Area Code,Turnout,,,London Mayor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,London Member,,,,,,,,,,,,,,,,,,,Constituency Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1st choice,,,,,,,,,,,,,1st choice spoils,,,,,,2nd choice,,,,,,,,,,,,,2nd choice spoils,,,,Total Good,,,,,,,,,,,,,Spoils,,,,,,Total good,,,,,,,,,,,,,Spoils,,,,,,Candidate names,,,,,,,,,,,
Bexley,Northumberland Heath,Ward,Bexley & Bromley,E05000080,"2,686","6,884",39%,Zac Goldsmith - The Conservative Party,697,1252,97,106,276,31,26,78,18,4,33,4,2622,0,0,7,11,46,64,270,309,334,262,549,95,62,152,49,22,145,21,2270,350,2,0,352,38,87,43,119,29,1005,107,686,17,5,472,46,2654,0,0,19,2,11,32,740,1115,126,91,566,13,,,,,,,2651,0,0,26,3,6,35,Sam Russell,Gareth Andrew Bacon,Roisin Therese Siobhan Robertson,Julie Ireland,Frank Thomas Gould,Veronica Olabisi Obadara,,,,,,
Bexley,Sidcup,Ward,Bexley & Bromley,E05000083,"3,343","7,221",46%,Zac Goldsmith - The Conservative Party,697,1886,176,143,246,6,22,39,14,4,46,2,3281,0,0,15,8,39,62,275,337,549,443,598,74,65,133,76,24,211,26,2811,467,2,1,470,27,48,15,179,33,1563,245,600,26,6,486,84,3312,0,0,24,1,6,31,646,1694,242,189,521,16,,,,,,,3308,0,0,30,1,4,35,Sam Russell,Gareth Andrew Bacon,Roisin Therese Siobhan Robertson,Julie Ireland,Frank Thomas Gould,Veronica Olabisi Obadara,,,,,,
Bexley,St Mary's,Ward,Bexley & Bromley,E05000081,"3,278","7,064",46%,Zac Goldsmith - The Conservative Party,596,1959,153,125,261,10,13,42,19,3,46,1,3228,0,0,15,11,24,50,229,341,497,403,712,88,55,140,61,22,172,13,2733,492,2,1,495,38,58,23,166,18,1665,185,512,11,6,480,72,3234,0,0,36,2,5,43,542,1784,223,144,531,11,,,,,,,3235,0,0,37,1,5,43,Sam Russell,Gareth Andrew Bacon,Roisin Therese Siobhan Robertson,Julie Ireland,Frank Thomas Gould,Veronica Olabisi Obadara,,,,,,
Bexley,St Michael's,Ward,Bexley & Bromley,E05000082,"2,826","7,024",40%,Zac Goldsmith - The Conservative Party,701,1402,80,119,302,35,12,74,12,5,23,1,2766,0,0,7,7,46,60,266,316,348,313,604,111,61,153,64,29,118,23,2406,355,5,0,360,32,91,46,124,31,1099,99,657,18,5,546,49,2797,0,0,14,1,14,29,723,1198,100,126,629,23,,,,,,,2799,0,0,17,4,6,27,Sam Russell,Gareth Andrew Bacon,Roisin Therese Siobhan Robertson,Julie Ireland,Frank Thomas Gould,Veronica Olabisi Obadara,,,,,,
Bexley,Thamesmead East,Ward,Bexley & Bromley,E05000084,"1,962","6,279",31%,Sadiq Aman Khan - Labour Party,945,506,76,58,180,20,18,57,15,6,39,6,1926,0,0,3,5,28,36,309,194,245,162,208,56,93,97,30,22,137,10,1563,346,17,0,363,16,67,23,51,63,316,74,1000,13,5,281,38,1947,0,0,8,0,7,15,1034,354,88,68,318,87,,,,,,,1949,0,0,12,0,1,13,Sam Russell,Gareth Andrew Bacon,Roisin Therese Siobhan Robertson,Julie Ireland,Frank Thomas Gould,Veronica Olabisi Obadara,,,,,,
Bromley,Bickley,Ward,Bexley & Bromley,E05000106,"4,531","9,300",49%,Zac Goldsmith - The Conservative Party,921,2714,199,240,186,6,33,31,31,8,79,7,4455,0,0,10,9,57,76,357,413,701,696,710,62,91,117,95,38,321,42,3643,805,6,1,812,29,44,12,335,33,2405,306,722,40,5,413,129,4473,0,0,41,2,13,56,784,2562,351,341,425,14,,,,,,,4477,0,0,50,1,3,54,Sam Russell,Gareth Andrew Bacon,Roisin Therese Siobhan Robertson,Julie Ireland,Frank Thomas Gould,Veronica Olabisi Obadara,,,,,,
Bromley,Biggin Hill,Ward,Bexley & Bromley,E05000107,"2,901","6,679",43%,Zac Goldsmith - The Conservative Party,365,1835,83,115,322,11,11,55,15,4,32,0,2848,0,0,9,10,34,53,164,287,322,318,780,85,43,155,47,23,108,15,2347,500,1,0,501,44,60,23,150,22,1457,126,290,10,9,635,52,2878,0,0,17,2,4,23,311,1523,140,181,712,6,,,,,,,2873,0,0,22,2,4,28,Sam Russell,Gareth Andrew Bacon,Roisin Therese Siobhan Robertson,Julie Ireland,Frank Thomas Gould,Veronica Olabisi Obadara,,,,,,
Bromley,Bromley Common And Keston,Ward,Bexley & Bromley,E05000108,"4,150","10,063",41%,Zac Goldsmith - The Conservative Party,966,2220,204,204,290,13,21,67,26,3,59,3,4076,0,0,9,9,56,74,343,410,696,540,755,80,94,161,96,48,230,27,3480,574,21,1,596,50,84,23,245,42,1880,251,802,30,16,578,111,4112,0,0,26,0,11,37,878,2001,308,280,632,17,,,,,,,4116,0,0,34,0,0,34,Sam Russell,Gareth Andrew Bacon,Roisin Therese Siobhan Robertson,Julie Ireland,Frank Thomas Gould,Veronica Olabisi Obadara,,,,,,
Bromley,Bromley Town,Ward,Bexley & Bromley,E05000109,"4,742","10,765",44%,Zac Goldsmith - The Conservative Party,1580,1959,337,297,212,13,55,43,39,4,132,10,4681,0,0,9,12,39,60,488,474,942,680,514,59,102,123,119,49,355,39,3944,731,5,1,737,51,46,23,405,60,1613,445,1326,50,22,452,199,4692,0,0,37,0,13,50,1400,1837,534,429,481,23,,,,,,,4704,0,0,32,2,4,38,Sam Russell,Gareth Andrew Bacon,Roisin Therese Siobhan Robertson,Julie Ireland,Frank Thomas Gould,Veronica Olabisi Obadara,,,,,,
Bromley,Chelsfield And Pratts Bottom,Ward,Bexley & Bromley,E05000110,"4,751","9,411",50%,Zac Goldsmith - The Conservative Party,912,2747,231,220,378,17,21,49,19,5,75,3,4677,0,0,12,13,49,74,396,503,633,713,974,86,71,170,93,41,272,37,3989,684,4,0,688,68,68,24,308,44,2316,312,694,22,12,732,117,4717,0,0,21,0,13,34,683,2509,346,386,779,13,,,,,,,4716,0,0,31,0,3,34,Sam Russell,Gareth Andrew Bacon,Roisin Therese Siobhan Robertson,Julie Ireland,Frank Thomas Gould,Veronica Olabisi Obadara,,,,,,
Bromley,Chislehurst,Ward,Bexley & Bromley,E05000111,"4,384","9,599",46%,Zac Goldsmith - The Conservative Party,889,2646,189,200,223,9,22,31,23,1,75,10,4318,0,0,11,13,40,64,345,395,712,643,749,46,81,141,85,43,259,32,3531,783,4,0,787,57,41,12,263,28,2319,282,699,28,13,455,127,4324,0,0,47,0,12,59,716,2465,340,297,509,12,,,,,,,4339,0,0,42,2,1,45,Sam Russell,Gareth Andrew Bacon,Roisin Therese Siobhan Robertson,Julie Ireland,Frank Thomas Gould,Veronica Olabisi Obadara,,,,,,
Bromley,Clock House,Ward,Bexley & Bromley,E05000112,"4,970","9,973",50%,Sadiq Aman Khan - Labour Party,2107,1598,438,285,176,25,41,51,49,4,128,5,4907,0,1,10,13,37,61,686,415,1218,757,407,54,106,118,157,43,442,37,4440,464,3,0,467,51,77,26,414,40,1309,558,1824,39,18,344,226,4926,0,0,31,1,11,43,2055,1421,599,438,395,16,,,,,,,4924,0,0,38,0,8,46,Sam Russell,Gareth Andrew Bacon,Roisin Therese Siobhan Robertson,Julie Ireland,Frank Thomas Gould,Veronica Olabisi Obadara,,,,,,
Bromley,Copers Cope,Ward,Bexley & Bromley,E05000113,"4,723","10,033",47%,Zac Goldsmith - The Conservative Party,1434,2264,271,281,172,12,40,40,19,7,95,15,4650,0,0,14,20,37,71,460,403,932,729,591,46,86,117,124,41,368,32,3929,707,12,2,721,51,45,20,394,44,1965,402,1167,42,23,352,175,4680,0,0,35,1,7,43,1245,2123,463,419,391,26,,,,,,,4667,0,0,50,1,5,56,Sam Russell,Gareth Andrew Bacon,Roisin Therese Siobhan Robertson,Julie Ireland,Frank Thomas Gould,Veronica Olabisi Obadara,,,,,,
Bromley,Cray Valley East,Ward,Bexley & Bromley,E05000114,"3,036","9,085",33%,Zac Goldsmith - The Conservative Party,814,1317,138,163,334,25,28,80,22,3,43,9,2976,0,0,10,7,43,60,278,316,371,390,493,98,71,137,66,28,146,24,2418,554,3,1,558,46,88,38,197,44,1023,171,725,27,4,572,72,3007,0,0,18,1,10,29,752,1124,207,236,661,24,,,,,,,3004,0,0,28,1,2,31,Sam Russell,Gareth Andrew Bacon,Roisin Therese Siobhan Robertson,Julie Ireland,Frank Thomas Gould,Veronica Olabisi Obadara,,,,,,
Bromley,Cray Valley West,Ward,Bexley & Bromley,E05000115,"3,099","10,021",31%,Zac Goldsmith - The Conservative Party,775,1358,132,133,413,30,37,80,21,4,50,5,3038,0,0,5,5,51,61,294,334,408,347,549,124,82,182,65,22,147,22,2576,457,5,0,462,36,93,51,144,57,1025,168,707,37,6,685,68,3077,0,0,9,0,13,22,752,1144,187,187,782,30,,,,,,,3082,0,0,12,0,5,17,Sam Russell,Gareth Andrew Bacon,Roisin Therese Siobhan Robertson,Julie Ireland,Frank Thomas Gould,Veronica Olabisi Obadara,,,,,,
Bromley,Crystal Palace,Ward,Bexley & Bromley,E05000116,"3,289","7,610",43%,Sadiq Aman Khan - Labour Party,1754,609,358,175,90,14,29,46,26,2,119,20,3242,0,0,13,12,22,47,561,229,891,388,158,26,101,51,106,33,366,33,2943,293,6,0,299,40,55,25,217,35,461,498,1506,33,22,142,226,3260,0,0,18,0,11,29,1666,505,564,315,179,23,,,,,,,3252,0,0,31,1,5,37,Sam Russell,Gareth Andrew Bacon,Roisin Therese Siobhan Robertson,Julie Ireland,Frank Thomas Gould,Veronica Olabisi Obadara,,,,,,
Bromley,Darwin,Ward,Bexley & Bromley,E05000117,"1,604","3,349",48%,Zac Goldsmith - The Conservative Party,203,1031,63,60,150,11,8,22,8,1,19,2,1578,0,0,3,6,17,26,80,182,168,129,425,31,31,57,26,10,79,5,1223,353,2,0,355,24,19,17,81,18,782,81,159,12,5,360,32,1590,0,0,10,1,2,13,163,842,96,80,406,0,,,,,,,1587,0,0,13,0,3,16,Sam Russell,Gareth Andrew Bacon,Roisin Therese Siobhan Robertson,Julie Ireland,Frank Thomas Gould,Veronica Olabisi Obadara,,,,,,
Bromley,Farnborough And Crofton,Ward,Bexley & Bromley,E05000118,"4,838","9,565",51%,Zac Goldsmith - The Conservative Party,862,3048,168,221,286,23,32,42,23,2,60,11,4778,0,0,9,5,45,59,341,464,698,725,1000,87,88,182,86,26,253,32,3982,787,8,1,796,30,67,30,349,42,2530,244,721,30,7,654,96,4800,0,0,28,0,10,38,700,2732,267,361,715,14,,,,,,,4789,0,0,40,0,9,49,Sam Russell,Gareth Andrew Bacon,Roisin Therese Siobhan Robertson,Julie Ireland,Frank Thomas Gould,Veronica Olabisi Obadara,,,,,,
Bromley,Hayes And Coney Hall,Ward,Bexley & Bromley,E05000119,"5,067","10,504",48%,Zac Goldsmith - The Conservative Party,1026,2934,243,244,341,14,25,58,30,7,66,2,4990,0,0,10,13,54,77,356,491,803,688,1003,91,73,200,106,43,231,24,4109,880,1,0,881,58,96,23,335,41,2395,350,831,26,21,742,118,5036,0,0,23,0,8,31,879,2619,369,365,793,12,,,,,,,5037,0,0,23,2,5,30,Sam Russell,Gareth Andrew Bacon,Roisin Therese Siobhan Robertson,Julie Ireland,Frank Thomas Gould,Veronica Olabisi Obadara,,,,,,
Bromley,Kelsey And Eden Park,Ward,Bexley & Bromley,E05000120,"4,749","10,163",47%,Zac Goldsmith - The Conservative Party,1234,2414,232,315,239,12,39,54,33,3,90,9,4674,0,0,8,6,61,75,467,471,819,643,650,68,74,120,104,39,348,29,3832,836,6,0,842,44,50,28,387,45,2036,340,1049,44,26,470,175,4694,0,0,36,2,16,54,1150,2250,386,392,512,21,,,,,,,4711,0,0,31,1,5,37,Sam Russell,Gareth Andrew Bacon,Roisin Therese Siobhan Robertson,Julie Ireland,Frank Thomas Gould,Veronica Olabisi Obadara,,,,,,
Bromley,Mottingham And Chislehurst North,Ward,Bexley & Bromley,E05000121,"2,288","6,165",37%,Zac Goldsmith - The Conservative Party,662,934,114,90,233,26,35,61,23,1,41,5,2225,0,1,5,5,52,63,214,240,359,252,363,52,48,110,61,15,149,13,1876,345,4,0,349,35,82,28,95,25,734,144,612,22,8,413,66,2264,0,0,16,2,6,24,645,829,171,120,477,16,,,,,,,2258,0,0,25,1,4,30,Sam Russell,Gareth Andrew Bacon,Roisin Therese Siobhan Robertson,Julie Ireland,Frank Thomas Gould,Veronica Olabisi Obadara,,,,,,
Bromley,Orpington,Ward,Bexley & Bromley,E05000122,"4,516","9,958",45%,Zac Goldsmith - The Conservative Party,910,2505,169,252,372,21,30,65,21,4,68,11,4428,0,0,12,21,55,88,358,480,647,677,827,74,81,193,82,45,222,38,3724,697,4,3,704,54,111,23,332,56,2017,231,769,26,15,718,103,4455,0,0,47,2,12,61,807,2197,274,375,783,22,,,,,,,4458,0,0,50,1,7,58,Sam Russell,Gareth Andrew Bacon,Roisin Therese Siobhan Robertson,Julie Ireland,Frank Thomas Gould,Veronica Olabisi Obadara,,,,,,
Bromley,Penge And Cator,Ward,Bexley & Bromley,E05000123,"4,822","10,381",46%,Sadiq Aman Khan - Labour Party,2325,1171,444,272,181,25,51,69,32,5,138,21,4734,0,0,13,7,67,87,680,360,1194,582,326,66,178,125,149,40,493,32,4225,506,3,0,509,58,71,27,345,59,937,606,2039,59,23,317,236,4777,0,0,26,6,13,45,2294,1030,646,397,373,33,,,,,,,4773,0,0,40,3,5,48,Sam Russell,Gareth Andrew Bacon,Roisin Therese Siobhan Robertson,Julie Ireland,Frank Thomas Gould,Veronica Olabisi Obadara,,,,,,
Bromley,Petts Wood And Knoll,Ward,Bexley & Bromley,E05000124,"4,989","8,909",56%,Zac Goldsmith - The Conservative Party,879,3178,214,259,245,11,24,41,18,3,44,5,4921,0,0,9,11,48,68,366,505,840,800,990,68,57,119,81,65,294,29,4214,701,6,0,707,49,51,25,390,41,2677,325,700,22,9,540,112,4941,0,0,38,0,10,48,695,2877,358,395,599,12,,,,,,,4936,0,0,48,0,5,53,Sam Russell,Gareth Andrew Bacon,Roisin Therese Siobhan Robertson,Julie Ireland,Frank Thomas Gould,Veronica Olabisi Obadara,,,,,,
Bromley,Plaistow And Sundridge,Ward,Bexley & Bromley,E05000125,"4,251","9,631",44%,Zac Goldsmith - The Conservative Party,1264,1888,248,272,249,19,30,60,36,6,90,15,4177,0,0,16,11,47,74,504,427,774,637,584,53,106,154,94,31,309,29,3702,463,11,1,475,62,86,20,348,52,1539,321,1103,38,15,480,147,4211,0,0,29,1,9,39,1163,1715,376,378,545,29,,,,,,,4206,0,0,39,2,4,45,Sam Russell,Gareth Andrew Bacon,Roisin Therese Siobhan Robertson,Julie Ireland,Frank Thomas Gould,Veronica Olabisi Obadara,,,,,,
Bromley,Postal Votes - Bromley,Postal,Bexley & Bromley,E09000006 (Postal),"26,131","35,475",74%,Zac Goldsmith - The Conservative Party,5112,15295,1011,1326,1776,142,207,498,124,31,391,54,25967,0,2,55,32,75,164,2325,2650,3696,4826,5171,517,548,1775,392,239,1621,221,23981,1966,15,5,1986,264,665,140,1691,285,13379,1289,4508,206,84,2946,539,25996,1,3,73,7,50,134,4794,14294,1525,1875,3408,120,,,,,,,26016,0,4,71,7,15,97,Sam Russell,Gareth Andrew Bacon,Roisin Therese Siobhan Robertson,Julie Ireland,Frank Thomas Gould,Veronica Olabisi Obadara,,,,,,
