00ACGD,Ward,Barnet & Camden,Barnet,EAST FINCHLEY,3815,9266,41.2%,Ken Livingstone - The Labour Party Candidate,278,18,1372,273,1611,159,46,3757,0,0,19,16,23,58,467,51,335,873,556,653,191,3126,619,7,5,631,Labour Party,33,35,872,19,473,1823,300,3,14,40,149,3,5,3769,0,1,31,1,9,42,Labour,2137,716,332,410,171,,,,,,,,,,,3766,0,0,33,5,7,45,Andrew Dismore,Brian Coleman*,Chris Richards,Audrey Poppy,Michael Corby,,,,,,,,,,
00ACGE,Ward,Barnet & Camden,Barnet,EDGWARE,3481,9128,38.1%,Boris Johnson - The Conservative Party Candidate,86,21,2349,74,767,82,44,3423,0,0,22,9,27,58,374,59,370,346,324,640,251,2364,1021,24,14,1059,Conservative Party,36,35,1857,23,131,1050,123,5,10,7,138,1,13,3429,0,0,38,1,12,51,Labour,1692,1364,135,123,119,,,,,,,,,,,3433,0,0,41,0,6,47,Andrew Dismore,Brian Coleman*,Chris Richards,Audrey Poppy,Michael Corby,,,,,,,,,,
00ACGF,Ward,Barnet & Camden,Barnet,FINCHLEY CHURCH END,3638,8797,41.4%,Boris Johnson - The Conservative Party Candidate,173,21,2493,134,646,97,28,3592,0,0,20,3,23,46,400,36,344,538,259,673,197,2447,1095,37,13,1145,Conservative Party,26,40,1984,16,292,882,171,2,17,7,121,5,11,3574,0,0,49,1,8,58,Conservative,1250,1613,235,304,140,,,,,,,,,,,3542,0,0,77,4,7,88,Andrew Dismore,Brian Coleman*,Chris Richards,Audrey Poppy,Michael Corby,,,,,,,,,,
00ACGG,Ward,Barnet & Camden,Barnet,GARDEN SUBURB,4113,8561,48.0%,Boris Johnson - The Conservative Party Candidate,184,13,3054,151,485,149,31,4067,0,0,10,8,26,44,555,35,429,591,229,805,203,2847,1205,9,6,1220,Conservative Party,17,21,2418,14,339,758,321,4,10,20,119,3,2,4046,0,0,52,2,10,64,Conservative,1037,2148,376,342,106,,,,,,,,,,,4009,0,0,94,3,7,104,Andrew Dismore,Brian Coleman*,Chris Richards,Audrey Poppy,Michael Corby,,,,,,,,,,
00ACGH,Ward,Barnet & Camden,Barnet,GOLDERS GREEN,3187,8542,37.3%,Boris Johnson - The Conservative Party Candidate,68,21,2143,81,729,72,25,3139,0,0,16,4,28,48,259,38,410,334,337,472,226,2076,1028,25,10,1063,Conservative Party,28,44,1729,15,157,889,111,7,15,11,95,1,9,3111,0,0,49,3,17,69,Labour,1480,1159,143,176,135,,,,,,,,,,,3093,0,0,76,2,9,87,Andrew Dismore,Brian Coleman*,Chris Richards,Audrey Poppy,Michael Corby,,,,,,,,,,
00ACGJ,Ward,Barnet & Camden,Barnet,HALE,3431,9328,36.8%,Boris Johnson - The Conservative Party Candidate,95,29,1988,71,1038,93,64,3378,0,0,20,6,27,53,383,89,360,410,351,576,249,2418,938,13,9,960,Conservative Party,49,46,1455,24,154,1266,157,9,12,10,176,9,9,3376,0,0,43,2,9,54,Labour,1771,1131,164,144,165,,,,,,,,,,,3375,0,0,45,3,6,54,Andrew Dismore,Brian Coleman*,Chris Richards,Audrey Poppy,Michael Corby,,,,,,,,,,
00ACGK,Ward,Barnet & Camden,Barnet,HENDON,3282,9594,34.2%,Boris Johnson - The Conservative Party Candidate,103,16,2200,98,692,87,49,3245,0,0,4,23,10,37,361,44,418,399,238,602,256,2318,896,6,25,927,Conservative Party,28,37,1727,17,148,952,137,4,15,20,139,2,8,3234,0,0,41,0,7,48,Labour,1718,1122,135,165,99,,,,,,,,,,,3239,0,0,40,1,2,43,Andrew Dismore,Brian Coleman*,Chris Richards,Audrey Poppy,Michael Corby,,,,,,,,,,
00ACGL,Ward,Barnet & Camden,Barnet,HIGH BARNET,4162,9429,44.1%,Boris Johnson - The Conservative Party Candidate,223,40,2286,277,1030,173,74,4103,0,0,15,22,22,59,503,112,397,840,431,716,325,3324,764,3,12,779,Conservative Party,66,80,1608,56,526,1152,330,8,16,33,234,4,4,4117,0,0,34,0,7,41,Labour,1433,1271,523,564,294,,,,,,,,,,,4085,0,0,60,2,11,73,Andrew Dismore,Brian Coleman*,Chris Richards,Audrey Poppy,Michael Corby,,,,,,,,,,
00ACGM,Ward,Barnet & Camden,Barnet,MILL HILL,3757,10157,37.0%,Boris Johnson - The Conservative Party Candidate,140,21,2170,122,1048,138,62,3701,0,0,27,0,29,56,437,65,428,535,368,648,256,2737,925,31,8,964,Conservative Party,43,67,1603,27,227,1225,267,7,10,20,177,6,19,3698,0,1,44,1,10,56,Labour,1779,1279,259,220,151,,,,,,,,,,,3688,0,0,63,1,2,66,Andrew Dismore,Brian Coleman*,Chris Richards,Audrey Poppy,Michael Corby,,,,,,,,,,
00ACGN,Ward,Barnet & Camden,Barnet,OAKLEIGH,3753,9811,38.3%,Boris Johnson - The Conservative Party Candidate,163,19,2259,163,900,122,68,3694,0,0,19,11,29,59,455,118,374,589,351,612,308,2807,870,6,11,887,Conservative Party,48,68,1695,22,334,1030,205,11,7,25,246,4,8,3703,0,0,41,3,6,50,Conservative,1281,1349,350,384,297,,,,,,,,,,,3661,0,0,82,1,8,91,Andrew Dismore,Brian Coleman*,Chris Richards,Audrey Poppy,Michael Corby,,,,,,,,,,
00ACGP,Ward,Barnet & Camden,Barnet,TOTTERIDGE,3404,8350,40.8%,Boris Johnson - The Conservative Party Candidate,141,30,2234,128,628,140,41,3342,0,0,18,14,29,61,410,75,353,507,309,608,224,2486,840,8,8,856,Conservative Party,44,45,1717,25,258,830,232,8,8,13,156,7,7,3350,0,0,41,3,7,51,Conservative,1050,1435,329,310,217,,,,,,,,,,,3341,0,0,59,2,2,63,Andrew Dismore,Brian Coleman*,Chris Richards,Audrey Poppy,Michael Corby,,,,,,,,,,
00ACGQ,Ward,Barnet & Camden,Barnet,UNDERHILL,3284,9238,35.5%,Boris Johnson - The Conservative Party Candidate,140,65,1514,144,1149,103,100,3215,0,0,17,15,37,69,341,143,334,546,362,488,295,2509,690,10,6,706,Labour Party,103,82,1000,38,287,1244,170,11,18,25,245,5,6,3234,0,0,38,2,10,50,Labour,1464,786,302,353,317,,,,,,,,,,,3222,0,0,50,5,7,62,Andrew Dismore,Brian Coleman*,Chris Richards,Audrey Poppy,Michael Corby,,,,,,,,,,
00ACGR,Ward,Barnet & Camden,Barnet,WEST FINCHLEY,3448,8767,39.3%,Boris Johnson - The Conservative Party Candidate,233,17,1569,166,1198,161,40,3384,0,0,28,0,34,62,442,53,379,669,410,572,160,2685,684,14,1,699,Labour Party,32,51,1057,21,366,1426,252,4,15,32,119,3,12,3390,0,0,41,2,15,58,Labour,1732,834,318,362,127,,,,,,,,,,,3373,0,0,63,3,8,74,Andrew Dismore,Brian Coleman*,Chris Richards,Audrey Poppy,Michael Corby,,,,,,,,,,
00ACGS,Ward,Barnet & Camden,Barnet,WEST HENDON,2945,8865,33.2%,Boris Johnson - The Conservative Party Candidate,62,42,1431,58,1159,71,54,2877,0,0,23,10,35,68,302,77,359,336,365,408,177,2024,834,13,6,853,Labour Party,52,29,1027,17,145,1349,100,8,9,17,116,2,17,2888,0,0,43,1,12,56,Labour,1842,697,117,135,92,,,,,,,,,,,2883,0,0,46,2,13,61,Andrew Dismore,Brian Coleman*,Chris Richards,Audrey Poppy,Michael Corby,,,,,,,,,,
00ACGT,Ward,Barnet & Camden,Barnet,WOODHOUSE,3526,9596,36.7%,Boris Johnson - The Conservative Party Candidate,192,42,1434,206,1380,147,57,3458,0,0,21,9,38,68,415,69,336,704,467,566,198,2755,659,10,34,703,Labour Party,56,45,923,29,392,1580,213,7,18,39,172,4,12,3490,0,0,30,0,6,36,Labour,1896,717,285,353,199,,,,,,,,,,,3450,0,0,61,3,12,76,Andrew Dismore,Brian Coleman*,Chris Richards,Audrey Poppy,Michael Corby,,,,,,,,,,
00AG (Postal),Postal,Barnet & Camden,Camden,Postal votes - Camden,14647,21279,68.8%,Boris Johnson - The Conservative Party Candidate,552,102,7242,888,4745,796,193,14518,0,7,62,17,43,129,1293,279,1408,2542,1875,2905,866,11168,3254,54,42,3350,Conservative Party,157,152,5559,115,1624,5010,1242,32,59,83,374,12,35,14454,0,7,55,12,30,104,Conservative,5172,5518,1436,1771,472,,,,,,,,,,,14369,0,1,71,3,17,92,Andrew Dismore,Brian Coleman*,Chris Richards,Audrey Poppy,Michael Corby,,,,,,,,,,
00AGGD,Ward,Barnet & Camden,Camden,BELSIZE,2730,7541,36.2%,Boris Johnson - The Conservative Party Candidate,152,16,1443,164,776,111,24,2686,0,0,10,12,22,44,307,40,253,562,326,522,145,2155,513,8,10,531,Conservative Party,32,22,1028,11,350,841,280,1,11,22,80,0,3,2681,0,1,35,0,11,47,Conservative,872,1070,318,342,71,,,,,,,,,,,2673,0,1,46,0,7,54,Andrew Dismore,Brian Coleman*,Chris Richards,Audrey Poppy,Michael Corby,,,,,,,,,,
00AGGE,Ward,Barnet & Camden,Camden,BLOOMSBURY,2312,6955,33.2%,Boris Johnson - The Conservative Party Candidate,132,21,893,198,888,129,23,2284,0,0,11,4,13,28,237,39,255,480,337,379,100,1827,442,8,7,457,Labour Party,35,33,613,13,391,894,177,3,10,32,63,1,4,2269,0,0,26,3,13,42,Labour,943,639,188,414,72,,,,,,,,,,,2256,0,0,43,1,10,54,Andrew Dismore,Brian Coleman*,Chris Richards,Audrey Poppy,Michael Corby,,,,,,,,,,
00AGGF,Ward,Barnet & Camden,Camden,CAMDEN TOWN WITH PRIMROSE HILL,3277,7883,41.6%,Ken Livingstone - The Labour Party Candidate,174,16,1171,262,1385,161,30,3199,0,0,41,10,27,78,365,41,330,765,454,608,126,2689,496,6,8,510,Labour Party,24,16,772,15,501,1408,330,11,11,36,87,2,14,3227,0,0,32,4,17,53,Labour,1425,743,488,491,76,,,,,,,,,,,3223,0,0,38,4,10,52,Andrew Dismore,Brian Coleman*,Chris Richards,Audrey Poppy,Michael Corby,,,,,,,,,,
00AGGG,Ward,Barnet & Camden,Camden,CANTELOWES,2942,7877,37.3%,Ken Livingstone - The Labour Party Candidate,145,17,730,350,1477,145,32,2896,0,0,20,9,17,46,294,31,246,796,527,457,94,2445,436,9,6,451,Labour Party,29,20,439,13,607,1451,224,5,15,38,58,2,2,2903,0,0,30,1,7,38,Labour,1529,426,275,588,69,,,,,,,,,,,2887,0,0,39,7,7,53,Andrew Dismore,Brian Coleman*,Chris Richards,Audrey Poppy,Michael Corby,,,,,,,,,,
00AGGH,Ward,Barnet & Camden,Camden,FORTUNE GREEN,2815,7440,37.8%,Boris Johnson - The Conservative Party Candidate,149,16,1211,181,1027,153,28,2765,0,0,12,6,32,50,341,56,266,555,369,585,122,2294,454,12,5,471,Labour Party,27,38,807,17,367,1034,370,5,16,24,64,2,7,2778,0,0,27,1,9,37,Labour,1089,805,416,373,81,,,,,,,,,,,2764,0,0,33,2,14,49,Andrew Dismore,Brian Coleman*,Chris Richards,Audrey Poppy,Michael Corby,,,,,,,,,,
00AGGJ,Ward,Barnet & Camden,Camden,FROGNAL AND FITZJOHNS,2277,6624,34.4%,Boris Johnson - The Conservative Party Candidate,111,7,1423,127,467,95,17,2247,0,0,8,2,19,29,307,29,212,428,194,450,114,1734,504,6,3,513,Conservative Party,11,42,1130,7,255,539,168,1,9,15,52,2,4,2235,0,0,37,1,4,42,Conservative,561,1165,187,282,38,,,,,,,,,,,2233,0,0,40,1,3,44,Andrew Dismore,Brian Coleman*,Chris Richards,Audrey Poppy,Michael Corby,,,,,,,,,,
00AGGK,Ward,Barnet & Camden,Camden,GOSPEL OAK,2864,7103,40.3%,Ken Livingstone - The Labour Party Candidate,130,28,862,214,1393,121,52,2800,0,0,21,5,38,64,265,62,256,656,461,457,126,2283,497,9,11,517,Labour Party,56,36,553,21,409,1403,165,5,13,45,95,1,4,2806,0,0,41,1,13,55,Labour,1455,587,202,441,110,,,,,,,,,,,2795,0,0,57,1,6,64,Andrew Dismore,Brian Coleman*,Chris Richards,Audrey Poppy,Michael Corby,,,,,,,,,,
00AGGL,Ward,Barnet & Camden,Camden,HAMPSTEAD TOWN,2626,6438,40.8%,Boris Johnson - The Conservative Party Candidate,148,9,1423,197,671,122,24,2594,0,0,6,10,16,32,339,29,237,603,292,524,105,2129,457,4,4,465,Conservative Party,13,30,1039,8,422,709,276,4,14,15,54,3,4,2591,0,0,24,5,5,34,Conservative,763,1039,288,421,64,,,,,,,,,,,2575,0,0,38,4,8,50,Andrew Dismore,Brian Coleman*,Chris Richards,Audrey Poppy,Michael Corby,,,,,,,,,,
00AGGM,Ward,Barnet & Camden,Camden,HAVERSTOCK,2835,7403,38.3%,Ken Livingstone - The Labour Party Candidate,112,20,805,210,1452,116,45,2760,0,0,20,23,32,75,272,73,219,575,475,456,117,2187,545,10,18,573,Labour Party,46,31,465,16,395,1427,237,10,14,30,95,1,6,2773,0,0,41,4,14,59,Labour,1488,506,259,415,96,,,,,,,,,,,2764,0,0,58,2,8,68,Andrew Dismore,Brian Coleman*,Chris Richards,Audrey Poppy,Michael Corby,,,,,,,,,,
00AGGN,Ward,Barnet & Camden,Camden,HIGHGATE,3222,6998,46.0%,Ken Livingstone - The Labour Party Candidate,162,24,1016,465,1360,123,32,3182,0,0,13,19,8,40,312,42,256,990,543,440,106,2689,474,7,12,493,Labour Party,31,28,644,12,876,1267,195,8,8,39,72,0,2,3182,0,0,25,3,10,38,Labour,1333,633,206,912,79,,,,,,,,,,,3163,0,0,41,5,9,55,Andrew Dismore,Brian Coleman*,Chris Richards,Audrey Poppy,Michael Corby,,,,,,,,,,
00AGGP,Ward,Barnet & Camden,Camden,HOLBORN AND COVENT GARDEN,2771,7444,37.2%,Ken Livingstone - The Labour Party Candidate,114,27,877,192,1340,123,38,2711,0,0,26,9,25,60,263,67,267,519,442,406,167,2131,547,18,15,580,Labour Party,48,27,565,15,347,1363,170,8,15,38,112,3,6,2717,0,0,37,1,13,51,Labour,1389,626,187,390,113,,,,,,,,,,,2705,0,0,50,3,10,63,Andrew Dismore,Brian Coleman*,Chris Richards,Audrey Poppy,Michael Corby,,,,,,,,,,
00AGGQ,Ward,Barnet & Camden,Camden,KENTISH TOWN,3400,8465,40.2%,Ken Livingstone - The Labour Party Candidate,205,17,777,468,1679,160,36,3342,0,0,14,9,35,58,329,52,246,976,618,468,101,2790,534,6,12,552,Labour Party,34,21,452,14,813,1600,223,6,23,63,91,1,11,3352,0,0,27,3,15,45,Labour,1710,461,268,823,82,,,,,,,,,,,3344,0,0,35,3,17,55,Andrew Dismore,Brian Coleman*,Chris Richards,Audrey Poppy,Michael Corby,,,,,,,,,,
00AGGR,Ward,Barnet & Camden,Camden,KILBURN CAMDEN,2624,7578,34.6%,Ken Livingstone - The Labour Party Candidate,111,23,777,132,1360,132,34,2569,0,1,22,11,19,53,220,52,217,505,446,439,115,1994,551,10,14,575,Labour Party,43,33,485,15,264,1349,236,6,14,43,76,1,12,2577,0,0,25,3,19,47,Labour,1403,501,266,314,87,,,,,,,,,,,2571,0,0,44,0,7,51,Andrew Dismore,Brian Coleman*,Chris Richards,Audrey Poppy,Michael Corby,,,,,,,,,,
00AGGS,Ward,Barnet & Camden,Camden,KING'S CROSS,2443,7450,32.8%,Ken Livingstone - The Labour Party Candidate,122,18,645,204,1223,134,27,2373,0,1,25,8,35,69,233,53,213,509,488,335,91,1922,426,18,7,451,Labour Party,42,30,405,10,345,1272,182,2,7,38,61,1,4,2399,0,0,25,2,17,44,Labour,1320,425,217,363,68,,,,,,,,,,,2393,0,0,33,4,13,50,Andrew Dismore,Brian Coleman*,Chris Richards,Audrey Poppy,Michael Corby,,,,,,,,,,
00AGGT,Ward,Barnet & Camden,Camden,REGENT'S PARK,2777,7961,34.9%,Ken Livingstone - The Labour Party Candidate,110,23,776,187,1471,113,40,2720,0,1,4,23,29,57,236,73,287,522,460,355,124,2057,634,10,19,663,Labour Party,48,32,494,10,342,1499,139,3,15,42,88,3,9,2724,0,1,27,1,24,53,Labour,1552,520,188,362,94,,,,,,,,,,,2716,0,0,46,3,12,61,Andrew Dismore,Brian Coleman*,Chris Richards,Audrey Poppy,Michael Corby,,,,,,,,,,
00AGGU,Ward,Barnet & Camden,Camden,ST PANCRAS AND SOMERS TOWN,2906,8116,35.8%,Ken Livingstone - The Labour Party Candidate,84,46,605,172,1791,71,55,2824,0,0,32,6,44,82,215,83,254,548,550,305,118,2073,728,13,10,751,Labour Party,63,23,362,21,336,1770,99,9,18,42,98,0,5,2846,0,0,42,1,17,60,Labour,1828,392,123,370,119,,,,,,,,,,,2832,0,0,62,0,12,74,Andrew Dismore,Brian Coleman*,Chris Richards,Audrey Poppy,Michael Corby,,,,,,,,,,
00AGGW,Ward,Barnet & Camden,Camden,SWISS COTTAGE,2497,7531,33.2%,Boris Johnson - The Conservative Party Candidate,120,20,1307,131,749,110,16,2453,0,0,17,8,19,44,287,48,249,486,286,476,118,1950,483,12,8,503,Conservative Party,29,20,986,9,283,809,223,5,8,19,60,2,4,2457,0,0,30,4,6,40,Conservative,840,998,260,293,55,,,,,,,,,,,2446,0,0,42,5,4,51,Andrew Dismore,Brian Coleman*,Chris Richards,Audrey Poppy,Michael Corby,,,,,,,,,,
00AGGX,Ward,Barnet & Camden,Camden,WEST HAMPSTEAD,2820,7682,36.7%,Boris Johnson - The Conservative Party Candidate,162,11,1201,193,1049,139,25,2780,0,0,12,14,14,40,334,40,272,607,399,586,106,2344,426,3,7,436,Labour Party,16,34,840,13,347,1061,320,5,19,33,73,2,8,2771,0,0,36,2,10,48,Labour,1067,836,391,397,62,,,,,,,,,,,2753,0,0,53,3,10,66,Andrew Dismore,Brian Coleman*,Chris Richards,Audrey Poppy,Michael Corby,,,,,,,,,,
00AD (Postal),Postal,Bexley & Bromley,Bexley,Postal votes - Bexley,17264,27390,63.0%,Boris Johnson - The Conservative Party Candidate,343,486,9905,414,4730,542,686,17106,0,0,58,31,69,158,1245,1191,2163,2309,1988,3139,2495,14530,2457,44,75,2576,Conservative Party,763,351,7748,450,611,4926,644,108,51,66,1369,24,22,17133,0,0,50,1,19,70,Conservative,5172,8346,703,666,1299,914,,,,,,,,,,17100,0,0,50,5,26,81,Josie Channer,James Cleverly*,Sam Webber,Jonathan Rooks,David Coburn,Donna Treanor,,,,,,,,,
00ADGA,Ward,Bexley & Bromley,Bexley,BARNEHURST,2380,6787,35.1%,Boris Johnson - The Conservative Party Candidate,72,71,1507,66,453,56,113,2338,0,1,18,8,15,42,206,219,248,309,219,334,338,1873,461,3,1,465,Conservative Party,115,25,1180,49,106,492,68,21,5,12,264,3,7,2347,0,0,26,0,6,32,Conservative,511,1288,78,119,207,143,,,,,,,,,,2346,0,0,29,1,4,34,Josie Channer,James Cleverly*,Sam Webber,Jonathan Rooks,David Coburn,Donna Treanor,,,,,,,,,
00ADGB,Ward,Bexley & Bromley,Bexley,BELVEDERE,2373,7431,31.9%,Boris Johnson - The Conservative Party Candidate,56,72,1077,62,887,65,95,2314,0,0,29,12,17,58,192,188,280,286,329,326,246,1847,453,10,4,467,Labour Party,129,60,735,37,95,975,64,13,4,12,197,2,0,2323,0,0,28,1,20,49,Labour,1045,799,87,98,140,161,,,,,,,,,,2330,0,0,34,1,8,43,Josie Channer,James Cleverly*,Sam Webber,Jonathan Rooks,David Coburn,Donna Treanor,,,,,,,,,
00ADGC,Ward,Bexley & Bromley,Bexley,BLACKFEN AND LAMORBEY,2515,7008,35.9%,Boris Johnson - The Conservative Party Candidate,68,89,1590,49,477,57,137,2467,0,0,10,5,32,47,209,242,320,338,148,378,399,2034,430,0,3,433,Conservative Party,169,39,1163,56,109,491,99,14,8,14,325,1,2,2490,0,0,16,2,7,25,Conservative,525,1261,113,112,262,204,,,,,,,,,,2477,0,0,27,3,6,36,Josie Channer,James Cleverly*,Sam Webber,Jonathan Rooks,David Coburn,Donna Treanor,,,,,,,,,
00ADGD,Ward,Bexley & Bromley,Bexley,BLENDON AND PENHILL,2759,7136,38.7%,Boris Johnson - The Conservative Party Candidate,70,76,1880,48,474,61,94,2703,0,0,10,3,41,54,217,276,349,349,174,376,383,2124,565,5,9,579,Conservative Party,159,40,1521,43,90,487,83,20,6,15,256,0,2,2722,0,0,23,1,13,37,Conservative,514,1655,96,81,194,178,,,,,,,,,,2718,0,0,32,2,7,41,Josie Channer,James Cleverly*,Sam Webber,Jonathan Rooks,David Coburn,Donna Treanor,,,,,,,,,
00ADGE,Ward,Bexley & Bromley,Bexley,BRAMPTON,2915,7073,41.2%,Boris Johnson - The Conservative Party Candidate,99,81,1822,67,596,66,121,2852,0,0,31,2,30,63,278,238,305,411,244,427,380,2283,566,3,0,569,Conservative Party,129,38,1413,52,141,661,101,18,5,5,308,2,2,2875,0,0,32,0,8,40,Conservative,693,1558,109,134,207,171,,,,,,,,,,2872,0,0,34,1,8,43,Josie Channer,James Cleverly*,Sam Webber,Jonathan Rooks,David Coburn,Donna Treanor,,,,,,,,,
00ADGF,Ward,Bexley & Bromley,Bexley,CHRISTCHURCH,2464,7054,34.9%,Boris Johnson - The Conservative Party Candidate,95,81,1461,60,540,89,93,2419,0,0,13,2,30,45,229,218,265,349,195,374,290,1920,490,6,3,499,Conservative Party,121,35,1151,37,127,571,121,18,7,18,225,1,3,2435,0,0,21,3,5,29,Conservative,596,1265,133,111,173,148,,,,,,,,,,2426,0,0,30,1,7,38,Josie Channer,James Cleverly*,Sam Webber,Jonathan Rooks,David Coburn,Donna Treanor,,,,,,,,,
00ADGG,Ward,Bexley & Bromley,Bexley,COLYERS,1886,6739,28.0%,Boris Johnson - The Conservative Party Candidate,49,90,972,45,543,52,95,1846,0,0,11,7,22,40,148,155,228,273,215,248,265,1532,307,6,1,314,Conservative Party,121,39,696,33,77,607,58,14,5,14,196,0,3,1863,0,0,14,0,7,21,Conservative,643,770,67,78,152,144,,,,,,,,,,1854,0,0,22,0,6,28,Josie Channer,James Cleverly*,Sam Webber,Jonathan Rooks,David Coburn,Donna Treanor,,,,,,,,,
